"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;31,9621258;20,6149712;4,751339;22,9641514;6,0985904;4,7420201;22,6503716;8,5099993;2,7432957;11,0944881;1,6400275;3,4504182;6,2201753;19,4234619;3,6963489;5,3723302;2,3374102;1,4475154;-428,1181335;-0,007294;-0,0044234;-0,0071157;-51,8818321;-29,3971558;-421,8979582;-27,9496404;-49,5444219
"2";2006;37,6238022;23,1760406;5,0641294;24,2490902;6,4752021;5,1087036;22,6503716;8,5099993;2,7432957;11,0944881;1,6400275;3,4504182;6,2890611;15,4422855;3,1950028;6,264483;1,9987808;1,5715065;29,6917343;-0,014317;-0,0086824;-0,013967;5,7125382;3,7951555;35,9807954;5,366662;7,711319
"3";2007;37,5369263;23,0256424;5,0696926;24,3757858;6,5739837;5,0947318;22,6503716;8,5099993;2,7432952;11,0944881;1,6400275;3,4504182;6,5397749;13,5753956;3,0331936;7,2528496;1,8801552;1,7293946;28,1700058;-0,016508;-0,0100111;-0,0161044;5,7618942;3,6539271;34,7097807;5,3833217;7,6420494
"4";2008;37,5674019;22,7861519;5,0837865;24,5507927;6,7184362;5,0893888;22,514328;8,5099993;2,7432952;11,0944881;1,6400273;3,4504182;6,7985244;12,5349693;2,9838276;8,1210814;1,8364114;1,8730541;27,5035172;-0,0173149;-0,0105005;-0,0168916;5,7952094;3,5986066;34,3020416;5,4716607;7,6316208
"5";2009;37,4526367;22,4769802;5,059999;24,4393959;6,7850041;5,0689516;22,4332447;8,5099993;2,7432952;11,0944881;1,6400273;3,4504182;7,0148277;11,8601704;2,970504;8,8296041;1,8182859;1,9918537;27,0878201;-0,0176893;-0,0107275;-0,0172569;5,7879586;3,5543811;34,1026478;5,5462348;7,6062445
"6";2010;37,2935867;22,0970078;5,0257583;24,2823524;6,8319826;5,0381665;22,394928;8,5100002;2,743295;11,0944881;1,640027;3,4504182;7,1857748;11,3759527;2,9677975;9,391324;1,809037;2,0866194;26,7270241;-0,0179116;-0,0108623;-0,0174737;5,7772269;3,509136;33,9127989;5,5957554;7,5862639
"7";2011;37,084446;21,8057384;4,9881439;24,1275482;6,7417459;5,0073829;22,388731;8,5100031;2,7432954;11,0944901;1,6400275;3,4504194;7,3188233;11,0083504;2,9674597;9,8311281;1,8029563;2,1610835;26,3751774;-0,0180664;-0,0109562;-0,0176248;5,6913905;3,4682846;33,6940007;5,6293681;7,4943468
"8";2012;36,860714;21,3142166;4,954927;23,9964771;6,6444035;4,9678912;22,4058838;8,5099993;2,7432938;11,0944843;1,6400267;3,4504178;7,4226875;10,7208872;2,9669874;10,1734266;1,7980874;2,2192001;26,0339508;-0,0181828;-0,0110268;-0,0177383;5,595376;3,4212856;33,4566383;5,6404857;7,3934634
"9";2013;36,7413445;21,1206741;4,9408278;23,9620514;6,7004957;4,949698;22,4391727;8,5099993;2,7432952;11,0944881;1,640027;3,450418;7,5047622;10,4923258;2,9657574;10,438942;1,7937468;2,2644062;25,7754765;-0,0182731;-0,0110816;-0,0178264;5,5894551;3,3973219;33,2802387;5,6617281;7,3832019
"10";2014;36,6146507;20,9315414;4,9288473;23,9477959;6,8000474;4,9315033;22,4619541;8,5099993;2,7432945;11,0944881;1,6400267;3,4504182;7,5704212;10,3085556;2,9637358;10,6443892;1,789692;2,2994976;25,5616837;-0,0183442;-0,0111247;-0,0178958;5,606452;3,374305;33,1321049;5,6738026;7,396144
"11";2015;36,5678062;20,7850037;4,9240732;23,9591331;6,5499153;4,921154;22,4315777;8,5100012;2,7432952;11,0944881;1,6400267;3,4504189;7,6213531;10,1594095;2,9610484;10,8029919;1,7858269;2,3266923;25,4174194;-0,0184008;-0,011159;-0,017951;5,4040747;3,360297;33,0387725;5,6869893;7,1899016
"12";2016;36,3684387;19,8962574;4,9022903;23,8884277;6,3047466;4,8962336;22,4112911;8,5100021;2,7432952;11,0944881;1,640027;3,4504189;7,6589556;10,03724;2,9578443;10,9250965;1,7821107;2,3477354;25,2183208;-0,0184461;-0,0111865;-0,0179952;5,2115593;3,3325675;32,8772764;5,6803029;6,99367
"13";2017;36,3274345;19,3524094;4,9034419;23,9225311;6,2110925;4,891489;22,3982105;8,5100012;2,7432945;11,0944881;1,6400274;3,4504192;7,686614;9,9361811;2,9542544;11,0188074;1,7785224;2,3639843;25,0907516;-0,0184828;-0,0112087;-0,018031;5,098031;3,3253255;32,7773656;5,6893098;6,8765534
