"","X","YEAR","month","Ca","Mg","K","Na","NH4","NO3","Cl","SO4","pH","P"
"3460",4,2007,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3461",5,2007,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3462",6,2007,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3463",7,2007,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3464",8,2007,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3465",9,2007,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3466",10,2007,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3467",11,2007,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3468",12,2007,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3469",1,2008,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3470",2,2008,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3471",3,2008,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3472",4,2008,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3473",5,2008,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3474",6,2008,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3475",7,2008,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3476",8,2008,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3477",9,2008,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3478",10,2008,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3479",11,2008,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3480",12,2008,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3481",1,2009,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3482",2,2009,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3483",3,2009,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3484",4,2009,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3485",5,2009,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3486",6,2009,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3487",7,2009,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3488",8,2009,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3489",9,2009,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3490",10,2009,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3491",11,2009,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3492",12,2009,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3493",1,2010,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3494",2,2010,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3495",3,2010,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3496",4,2010,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3497",5,2010,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3498",6,2010,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3499",7,2010,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3500",8,2010,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3501",9,2010,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3502",10,2010,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3503",11,2010,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3504",12,2010,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3505",1,2011,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3506",2,2011,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3507",3,2011,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3508",4,2011,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3509",5,2011,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3510",6,2011,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3511",7,2011,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3512",8,2011,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3513",9,2011,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3514",10,2011,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3515",11,2011,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3516",12,2011,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3517",1,2012,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3518",2,2012,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3519",3,2012,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3520",4,2012,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3521",5,2012,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3522",6,2012,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3523",7,2012,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3524",8,2012,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3525",9,2012,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3526",10,2012,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3527",11,2012,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3528",12,2012,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3529",1,2013,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3530",2,2013,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3531",3,2013,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3532",4,2013,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3533",5,2013,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3534",6,2013,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3535",7,2013,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3536",8,2013,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3537",9,2013,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3538",10,2013,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3539",11,2013,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3540",12,2013,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3541",1,2014,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3542",2,2014,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3543",3,2014,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3544",4,2014,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3545",5,2014,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3546",6,2014,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3547",7,2014,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3548",8,2014,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3549",9,2014,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3550",10,2014,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3551",11,2014,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3552",12,2014,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3553",1,2015,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3554",2,2015,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3555",3,2015,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3556",4,2015,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3557",5,2015,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3558",6,2015,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3559",7,2015,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3560",8,2015,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3561",9,2015,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3562",10,2015,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3563",11,2015,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3564",12,2015,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3565",1,2016,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3566",2,2016,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3567",3,2016,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3568",4,2016,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3569",5,2016,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3570",6,2016,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3571",7,2016,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3572",8,2016,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3573",9,2016,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3574",10,2016,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3575",11,2016,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3576",12,2016,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3577",1,2017,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3578",2,2017,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3579",3,2017,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3580",4,2017,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3581",5,2017,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3582",6,2017,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3583",7,2017,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3584",8,2017,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3585",9,2017,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3586",10,2017,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3587",11,2017,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3588",12,2017,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3589",1,2018,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3590",2,2018,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3591",3,2018,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3592",4,2018,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3593",5,2018,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3594",6,2018,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3595",7,2018,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3596",8,2018,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3597",9,2018,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3598",10,2018,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3599",11,2018,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3600",12,2018,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3601",1,2019,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3602",2,2019,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3603",3,2019,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3604",4,2019,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3605",5,2019,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3606",6,2019,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3607",7,2019,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3608",8,2019,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3609",9,2019,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3610",10,2019,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3611",11,2019,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3612",12,2019,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3613",1,2020,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3614",2,2020,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3615",3,2020,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3616",4,2020,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3617",5,2020,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3618",6,2020,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3619",7,2020,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3620",8,2020,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3621",9,2020,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
"3622",10,2020,10,1.479522339,3.375315245,0.903705106,29.69436825,1.586542313,10.48440045,34.17461407,10.85179987,3.965372538,0.194
"3623",11,2020,11,1.338131385,4.46181627,1.056217183,40.93608383,0.965146574,6.795689576,47.61442118,11.36349198,4.027657525,0.194
"3624",12,2020,12,1.10498813,4.06295001,0.850420607,37.77612057,0.856732849,6.624380781,43.77626717,10.26931902,4.135653707,0.194
"3625",1,2021,1,1.075901991,3.452787492,0.730466542,32.07861723,0.845309745,8.350289504,37.20418582,9.782629035,4.15668279,0.194
"3626",2,2021,2,1.095863067,3.541658095,0.758089226,32.70324291,1.379339887,9.698215854,37.55958593,10.16061126,4.392493478,0.194
"3627",3,2021,3,1.761743172,3.810209539,1.163733462,35.05441299,1.897051309,10.63521641,39.62388837,13.07723152,3.869073118,0.194
"3628",4,2021,4,2.229910933,4.269811881,1.131052302,37.24200905,3.479816141,17.44667697,42.72009578,16.41919481,4.561960295,0.194
"3629",5,2021,5,3.011092655,3.453140153,1.051379289,24.51401006,3.403983196,13.44254637,28.68485842,15.01971442,4.412726712,0.194
"3630",6,2021,6,1.378792835,1.854518579,0.681094309,17.46187378,2.42740974,13.95099541,17.89850099,13.46801347,5.814087435,0.194
"3631",7,2021,7,3.577115534,1.827158647,1.105604917,20.2224342,8.843170509,40.39625192,13.10185316,24.97058532,6.675205968,0.194
"3632",8,2021,8,1.61708478,1.990576111,0.798963004,15.87041361,1.941247845,13.77232053,16.4993761,14.44684532,5.071110058,0.194
"3633",9,2021,9,1.461039861,3.265598452,0.844026467,32.16567689,4.27044306,15.46614332,35.61522767,14.72703016,5.3918225,0.194
